epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1231.72,0.61658,0.52758,1.07953,0.94232,0.87893,0.95802,0.78247,0.70081,0.47833,1.16985,0.000742625,0.000742625,0.000742625
43,1261.11,0.60988,0.51646,1.07647,0.95863,0.9167,0.96683,0.78974,0.70822,0.47186,1.15704,0.00073025,0.00073025,0.00073025
44,1290.46,0.61194,0.51949,1.08544,0.93479,0.92709,0.97187,0.80741,0.65976,0.45265,1.13295,0.000717875,0.000717875,0.000717875
45,1319.98,0.61231,0.52672,1.07989,0.95439,0.89422,0.97017,0.79428,0.66645,0.47063,1.13065,0.0007055,0.0007055,0.0007055
46,1349.21,0.61282,0.52346,1.08,0.91225,0.93203,0.97054,0.78572,0.68821,0.4586,1.15377,0.000693125,0.000693125,0.000693125
47,1378.74,0.58626,0.4926,1.06387,0.93752,0.92382,0.96566,0.77186,0.69583,0.47227,1.17446,0.00068075,0.00068075,0.00068075
48,1408.06,0.60456,0.53098,1.07966,0.90259,0.92033,0.96002,0.78289,0.67657,0.50049,1.15046,0.000668375,0.000668375,0.000668375
49,1437.37,0.57164,0.48543,1.05012,0.95905,0.90872,0.9663,0.79014,0.69291,0.45056,1.16619,0.000656,0.000656,0.000656
50,1466.66,0.57398,0.49835,1.0549,0.95305,0.9377,0.96885,0.80416,0.67812,0.41756,1.16287,0.000643625,0.000643625,0.000643625
51,1496.15,0.58007,0.49631,1.06085,0.92669,0.94572,0.96972,0.80206,0.66862,0.43889,1.12905,0.00063125,0.00063125,0.00063125
52,1525.74,0.5657,0.48291,1.05321,0.95699,0.91979,0.96882,0.79588,0.66538,0.43916,1.15438,0.000618875,0.000618875,0.000618875
53,1555.28,0.56861,0.46512,1.04999,0.93276,0.94652,0.97249,0.81263,0.67318,0.40802,1.15032,0.0006065,0.0006065,0.0006065
